Issuer,Certificate,Workload (h),Conclusion,File,Keywords
Escola Conquer,Inteligência Artificial: eleve sua produtividade e acelere sua carreira,10,2024-06-24,20240624_Conquer_Inteligencia_Artificial.pdf,"Artificial intelligence"
UniCesumar,Acelera Pleno - Java,230,2024-06-14,20240614_acelera-pleno.pdf,"Java, PostgreSQL, Spring Boot"
CertiProf,Cyber Security Foundation,1,2021-04-30,20210430_Cyber Security_Foundation.pdf,security
Kanban Institute,Kanban Foundation – KIKF,1,2020-09-16,20200916_Kanban.pdf,"Kanban, KIKF"
CertiProf,Scrum Foundation Professional – SFPC,1,2020-06-13,20200614_Scrum_Foundation_Professional_Certificate.pdf,"scrum, SFPC"
Atos Corporate University,Human Firewall,1,2024-05-21,20240521_Human_Firewall.pdf,"Security, firewall, human firewall"
Yoast,Structured data for beginners,1,2022-12-16,20221216_Structured_data_for_beginners.pdf,"SEO, Structured Data, Wordpress, Wordpress Plugin"
Pluralsight,Object Oriented PHP,1,2022-11-20,20221120-Object-Oriented-PHP.pdf,"php, Object Oriented"
Pluralsight,Consuming a REST API with Guzzle and PHP,1,2022-11-20,20221120-Consuming-a-REST-API-with_Guzzle-and-PHP.pdf,"REST, API, PHP, Guzzle"
Pluralsight,Unit Testing with PHPUnit 9,1,2022-11-19,20221119-Unit-Testing-with_PHPUnit-9.pdf,"php, phpunit, test"
AWS,AWS Foundations: Getting Started with the AWS Cloud Essentials,1,2021-08-01,20210801_AWS_Foundation-Getting_Started_with_the_AWS_Cloud_Essentials.pdf,"AWS, cloud"
Escola do  Governo,Apresentação oral Inovação na gestão pública: O caso do portal de transparência da Assembleia Legislativa do Rio Grande do Norte,1,2017-08-31,20170831-congesprn.pdf,innovation
Receita Federal,Treinamento Nacional do Imposto sobre a Propriedade Territorial Rural,2,2023-08-14,20230814_treinamento-nacional-do-ITR.pdf,"training, tax, rural tax, ITR"
Pluralsight,TailwindCSS 3 Fundamentals,2,2022-11-18,20221118-TailwindCSS3-Fundamentals.pdf,"TailwindCSS, css"
MDM,Gerenciamento de dispositivos móveis na área da saúde,2,2021-07-29,20210729_Gerenciamento_de_dispositivos_moveis_na_area_da_saude.pdf,"mobile, health"
Fundação Bradesco,Lei Geral de Proteção de Dados - LGPD,2,2021-05-10,20210510_Lei_Geral_de_Protecao_de_Dados_LGPD.pdf,"lgpd,"
